date,daily_count,daily_sentiment
2020-07-08,1,0.0
2021-04-21,1,0.0
2021-12-17,14,-0.14
2021-12-19,1,-2.0
2021-12-25,1,-2.0
2022-01-03,1,2.0
2022-01-18,1,0.0
2022-02-08,1,0.0
2022-04-08,5,-0.4
2022-04-11,1,1.0
2022-04-14,1,-2.0
2022-04-23,1,1.0
2022-05-24,1,-1.0
2022-06-06,8,0.5
2022-06-07,4,0.0
2022-06-11,2,0.0
2022-06-12,1,0.0
2022-06-15,1,-1.0
2022-06-21,1,0.0
2022-06-23,1,-1.0
2022-06-25,1,0.0
2022-06-26,1,0.0
2022-06-30,1,0.0
2022-07-25,1,1.0
2022-07-27,1,1.0
2022-09-04,2,0.0
2022-09-08,1,0.0
2022-09-23,10,-0.3
2022-09-24,1,0.0
2022-09-26,1,0.0
2022-10-03,1,-1.0
2022-10-08,1,0.0
2022-10-13,1,1.0
2022-10-17,2,0.5
2022-10-18,1,0.0
2022-10-21,2,0.0
2022-10-24,1,0.0
2022-10-27,1,0.0
2022-11-04,1,0.0
2022-11-22,1,0.0
2022-12-30,1,0.0
2022-12-31,1,2.0
2023-01-04,1,-1.0
2023-01-05,2,0.0
2023-01-07,1,1.0
2023-01-09,1,0.0
2023-01-10,1,0.0
2023-01-12,1,0.0
2023-01-13,1,0.0
2023-01-14,1,-1.0
2023-01-17,1,2.0
2023-01-23,1,1.0
2023-01-24,4,1.75
2023-01-26,8,-0.38
2023-01-27,2,0.0
2023-02-22,4,0.75
2023-02-23,1,0.0
2023-03-06,1,-1.0
2023-03-09,1,-1.0
2023-03-13,9,0.44
2023-03-14,1,0.0
2023-03-15,2,0.0
2023-03-16,3,0.0
2023-03-19,1,1.0
2023-03-28,2,-0.5
2023-03-29,1,0.0
2023-03-31,1,0.0
2023-04-01,1,0.0
2023-04-02,4,0.0
2023-04-03,3,0.0
2023-04-04,1,0.0
2023-04-06,1,0.0
2023-04-17,1,0.0
2023-04-20,5,0.4
2023-04-21,6,0.5
2023-04-22,2,-0.5
2023-04-25,2,2.0
2023-04-28,1,0.0
2023-04-29,1,-1.0
2023-04-30,9,-0.22
2023-05-01,7,0.14
2023-05-04,1,-1.0
2023-05-06,1,1.0
2023-05-07,16,-0.25
2023-05-08,3,0.33
2023-05-13,1,0.0
2023-05-16,1,1.0
2023-05-17,1,1.0
2023-05-18,2,-0.5
2023-05-21,1,0.0
2023-05-24,1,0.0
2023-05-27,1,0.0
2023-05-28,1,0.0
2023-06-03,1,0.0
2023-06-05,2,0.0
2023-06-11,1,-1.0
2023-06-13,1,0.0
2023-06-14,1,0.0
2023-06-15,1,1.0
2023-06-16,12,0.42
2023-06-17,3,-0.67
2023-06-18,1,0.0
2023-06-19,2,0.0
2023-06-20,1,-1.0
2023-06-23,1,0.0
2023-06-25,1,0.0
2023-06-26,1,0.0
2023-06-27,4,-1.0
2023-06-29,1,2.0
2023-06-30,1,1.0
2023-07-01,2,0.0
2023-07-02,1,0.0
2023-07-09,1,-2.0
2023-07-11,1,0.0
2023-07-12,3,-0.67
2023-07-13,1,0.0
2023-07-14,9,-0.11
2023-07-15,5,0.2
2023-07-16,5,-0.4
2023-07-17,2,1.0
2023-07-18,2,0.5
2023-07-19,2,0.0
2023-07-20,1,0.0
2023-07-26,1,1.0
2023-07-28,1,0.0
2023-07-29,7,0.43
2023-07-30,6,0.0
2023-07-31,3,0.0
2023-08-01,2,0.0
2023-08-02,1,0.0
2023-08-03,5,0.2
2023-08-04,12,0.33
2023-08-05,9,-0.11
2023-08-06,6,0.17
2023-08-07,3,-0.33
2023-08-08,1,0.0
2023-08-14,1,1.0
2023-08-16,2,0.0
2023-08-19,1,2.0
2023-08-21,1,0.0
2023-08-23,1,2.0
2023-08-25,1,-1.0
2023-09-01,1,1.0
2023-09-02,1,0.0
2023-09-03,1,0.0
2023-09-11,1,1.0
2023-09-18,1,0.0
2023-09-19,1,0.0
2023-09-20,1,0.0
2023-09-21,1,0.0
2023-09-22,1,-1.0
2023-09-23,1,0.0
2023-09-28,1,0.0
2023-10-07,1,0.0
2023-10-15,1,0.0
2023-10-16,1,0.0
2023-10-18,1,0.0
2023-10-24,2,0.0
2023-10-26,1,0.0
2023-10-27,1,1.0
2023-11-01,1,0.0
2023-11-02,1,0.0
2023-11-04,1,0.0
2023-11-06,3,0.33
2023-11-07,1,0.0
2023-11-09,3,0.0
2023-11-10,1,0.0
2023-11-11,1,0.0
2023-11-13,1,0.0
2023-11-15,1,1.0
2023-11-16,2,0.0
2023-11-17,1,0.0
2023-11-18,2,0.0
2023-11-19,1,0.0
2023-11-20,2,0.0
2023-11-21,5,0.4
2023-11-22,2,0.0
2023-11-23,7,0.0
2023-11-24,2,0.5
2023-11-25,4,0.0
2023-11-26,3,0.33
2023-11-27,2,0.0
2023-11-28,4,0.0
2023-11-29,3,-0.33
2023-11-30,3,-0.33
2023-12-01,8,0.25
2023-12-02,8,0.25
2023-12-03,2,0.5
2023-12-04,3,0.0
2023-12-05,2,0.0
2023-12-06,2,-0.5
2023-12-08,5,0.0
2023-12-09,2,-1.5
2023-12-11,1,0.0
2023-12-13,2,0.0
2023-12-18,1,0.0
2023-12-19,1,0.0
2023-12-23,4,0.0
2023-12-24,2,0.0
2023-12-25,1,0.0
2023-12-26,1,0.0
2023-12-27,1,1.0
2024-01-06,1,0.0
2024-01-07,4,-0.25
2024-01-08,12,0.08
2024-01-09,16,0.31
2024-01-10,11,-0.09
2024-01-11,6,0.0
2024-01-12,3,0.0
2024-01-13,9,0.22
2024-01-14,6,0.33
2024-01-15,8,0.0
2024-01-16,17,-0.18
2024-01-17,6,0.17
2024-01-18,3,-0.33
2024-01-19,6,0.33
2024-01-20,7,-0.14
2024-01-21,13,0.38
2024-01-22,4,-0.25
2024-01-23,5,-0.2
2024-01-24,1,0.0
2024-01-25,2,0.0
2024-01-26,3,0.0
2024-01-27,3,0.33
2024-01-28,9,-0.22
2024-01-29,1,-1.0
2024-01-30,7,-0.14
2024-01-31,6,0.67
2024-02-01,4,0.25
2024-02-02,3,0.0
2024-02-03,5,0.2
2024-02-05,1,1.0
2024-02-07,1,0.0
2024-02-08,1,0.0
2024-02-11,4,0.25
2024-02-13,4,0.0
2024-02-15,1,0.0
2024-02-16,3,0.0
2024-02-17,3,0.33
2024-02-19,5,-0.4
2024-02-20,3,0.33
2024-02-21,3,0.0
2024-02-22,1,0.0
2024-02-23,5,0.2
2024-02-25,1,-1.0
2024-02-27,1,0.0
2024-02-28,4,0.25
2024-02-29,11,0.55
2024-03-01,3,0.67
2024-03-02,1,0.0
2024-03-03,6,0.17
2024-03-04,8,0.25
2024-03-05,4,0.5
2024-03-06,1,0.0
2024-03-07,4,-0.25
2024-03-08,1,0.0
2024-03-09,4,0.0
2024-03-10,7,0.57
2024-03-11,2,0.0
2024-03-12,8,0.13
2024-03-13,8,0.0
2024-03-14,10,0.1
2024-03-15,9,0.0
2024-03-16,7,0.14
2024-03-17,13,0.23
2024-03-18,7,0.29
2024-03-19,4,0.5
2024-03-20,13,0.62
2024-03-21,19,0.16
2024-03-22,2,0.5
2024-03-23,3,0.33
2024-03-24,1,0.0
2024-03-25,5,0.2
2024-03-26,9,0.33
2024-03-27,6,-0.83
2024-03-28,13,-0.15
2024-03-29,7,0.29
2024-03-30,1,-1.0
2024-03-31,2,0.5
2024-04-01,1,0.0
2024-04-02,8,0.13
2024-04-03,2,0.5
2024-04-04,2,0.0
2024-04-05,5,0.2
2024-04-06,8,0.0
2024-04-07,11,0.18
2024-04-08,13,0.0
2024-04-09,10,0.3
2024-04-10,12,-0.08
2024-04-11,8,0.13
2024-04-12,1,-1.0
2024-04-13,6,-0.17
2024-04-14,6,0.0
2024-04-15,4,-0.5
2024-04-16,1,0.0
2024-04-17,2,0.0
2024-04-18,3,0.67
2024-04-19,3,0.0
2024-04-20,1,0.0
2024-04-22,3,0.0
2024-04-23,3,0.0
2024-04-24,9,0.33
2024-04-25,13,0.15
2024-04-26,11,0.0
2024-04-27,5,0.6
2024-04-28,3,0.67
2024-04-29,4,0.5
2024-04-30,2,0.5
2024-05-01,5,0.6
2024-05-02,4,0.25
2024-05-03,2,0.0
2024-05-04,5,0.8
2024-05-05,2,-0.5
2024-05-06,2,0.5
2024-05-07,3,-0.33
2024-05-08,1,0.0
2024-05-09,2,1.0
2024-05-10,3,0.67
2024-05-11,1,0.0
2024-05-12,3,0.0
2024-05-13,3,0.0
2024-05-14,6,0.5
2024-05-15,5,0.0
2024-05-16,4,-0.25
2024-05-17,6,0.0
2024-05-18,6,0.0
2024-05-19,5,-0.4
2024-05-20,8,0.25
2024-05-21,2,0.0
2024-05-22,1,0.0
2024-05-23,1,0.0
2024-05-24,2,0.0
2024-05-25,1,0.0
2024-05-26,1,3.0
2024-05-27,8,0.63
2024-05-28,6,0.0
2024-05-29,3,0.0
2024-05-30,8,-0.25
2024-05-31,3,-0.67
2024-06-01,5,0.0
2024-06-02,3,-0.33
2024-06-03,1,0.0
2024-06-05,3,0.33
2024-06-06,2,1.0
2024-06-07,2,0.5
2024-06-08,3,0.67
2024-06-09,3,0.0
2024-06-10,5,-0.2
2024-06-11,7,0.14
2024-06-12,6,-0.17
2024-06-13,7,0.29
2024-06-14,2,1.0
2024-06-15,6,-0.17
2024-06-16,1,0.0
2024-06-17,3,0.0
2024-06-18,4,0.5
2024-06-19,10,0.1
2024-06-20,24,-0.25
2024-06-21,27,-0.07
2024-06-22,7,0.43
2024-06-23,5,0.2
2024-06-24,6,0.5
2024-06-25,1,0.0
2024-06-26,5,-0.2
2024-06-27,5,0.2
2024-06-28,8,0.13
2024-06-29,6,0.0
2024-06-30,5,0.0
2024-07-01,7,0.29
2024-07-02,5,0.2
2024-07-03,3,0.33
2024-07-04,16,-0.25
2024-07-05,8,0.0
2024-07-06,5,0.6
2024-07-07,8,0.75
2024-07-08,10,-0.1
2024-07-09,8,-0.25
2024-07-10,3,0.0
2024-07-11,7,-0.14
2024-07-12,12,0.0
2024-07-13,6,0.33
2024-07-14,7,0.43
2024-07-15,13,0.15
2024-07-16,20,0.0
2024-07-17,11,0.09
2024-07-18,21,0.05
2024-07-19,8,0.25
2024-07-20,1,0.0
2024-07-21,6,0.0
2024-07-22,12,0.17
2024-07-23,13,-0.08
2024-07-24,6,-0.17
2024-07-25,6,0.0
2024-07-26,4,0.0
2024-07-27,2,0.5
2024-07-28,12,-0.17
2024-07-29,11,0.45
2024-07-30,8,0.0
2024-07-31,15,-0.13
2024-08-01,11,-0.18
2024-08-02,9,0.33
2024-08-03,9,0.0
2024-08-04,11,0.0
2024-08-05,12,-0.17
2024-08-06,11,-0.09
2024-08-07,2,0.0
2024-08-08,5,-0.8
2024-08-09,6,0.0
2024-08-10,4,1.0
2024-08-11,8,-0.13
2024-08-12,6,-0.17
2024-08-13,8,0.0
2024-08-14,8,0.25
2024-08-15,4,0.25
2024-08-16,6,-0.17
2024-08-17,6,0.33
2024-08-18,5,-0.2
2024-08-19,28,0.18
2024-08-20,23,0.0
2024-08-21,12,0.33
2024-08-22,10,-0.1
2024-08-23,4,-0.25
2024-08-25,6,0.5
2024-08-26,12,0.08
2024-08-27,4,-0.25
2024-08-28,7,0.71
2024-08-29,3,0.33
2024-08-30,7,0.14
2024-08-31,12,0.25
